level,phi,half_life_steps,physical_unit,step_hours,n_lag1_pairs,ci_lo,ci_hi,p
obs,0.22583961382918505,0.46584656877384967,2.9 hours,6.172777777777778,192,0.08739283384468288,0.3642863938136872,0.0015195672988434262
day,0.41547961747405043,0.789172308670939,0.79 days,24.0,69,0.21345264314644527,0.6175065918016556,0.00011210278252116202
