term,estimate,std_err,t,p,ci_lo,ci_hi
const,82.0121,10.0565,8.1551,0.0,61.792,102.2321
mood_lag1,-0.0449,0.1274,-0.3527,0.7258,-0.301,0.2112
melatonin,0.1428,0.7953,0.1795,0.8583,-1.4562,1.7418
meta_c,0.7605,0.1592,4.7773,0.0,0.4404,1.0805
mel_x_meta,-0.1381,0.2238,-0.617,0.5401,-0.5881,0.3119
