"variable","mean","median","sd","2.5%","97.5%","rhat","ess_bulk","ess_tail","pr_gt_0"
"b_Intercept",0.0109827291255697,0.0115018283751144,0.1225886796746,-0.230544650111969,0.253851722978746,1.00003070745014,11132.9972478426,8681.05609816802,0.539
"b_lag_mood_z",-0.143644976365545,-0.143872834978721,0.10884164677619,-0.355337176505973,0.0673826695383151,1.00024144429691,10423.9753299999,8757.76913937466,0.0925833333333333
"b_melatonin",-0.0207285150774685,-0.0226508325999354,0.172178008888338,-0.35595712818317,0.32668270629023,1.00032031934782,11627.6333620272,8372.26544178108,0.444166666666667
"b_agency_z",0.537548520848212,0.53939346002099,0.109323802916307,0.324445472988389,0.750584106504942,1.00005115540479,10066.9257792594,8084.77732222342,1
"b_metacognition_z",0.446117275334942,0.446465931354828,0.113963449715176,0.222796003002377,0.669628626338109,0.999869985195267,9095.44091781005,8925.14698274026,0.999833333333333
"sigma",0.634140407402373,0.628598171771466,0.0664987416712823,0.519180741622348,0.781201296719335,1.00025865086525,9941.57983866859,9008.48115803171,1
"Intercept",0.000814023615865622,0.000933559923440045,0.0882952763097127,-0.173577014479044,0.17287957622266,1.0000901531496,11531.1994264643,8825.8460676575,0.503666666666667
"lprior",-6.51563926506173,-6.50480597088929,0.103360362543321,-6.74639866431362,-6.34410371972877,1.00025561602439,9058.50699916997,7925.84689835944,0
"lp__",-57.5010893139031,-57.1505429902295,1.85771130733007,-62.0516972873075,-54.9632439530528,1.00089640568911,5405.14264494133,7094.49888216818,0
