model,term,estimate,std_err,t,p,ci_lo,ci_hi
M0_AR1,const,52.53958024580829,10.417301494621434,5.0434923356048635,6.146369123872363e-06,31.625974834719397,73.45318565689718
M0_AR1,mood_lag1,0.33035404083673914,0.13229552464151953,2.4970915813811367,0.015791712448967724,0.06475969268100579,0.5959483889924725
M1_AR1+mel,const,52.264754126290505,10.488199612256714,4.983195978193711,7.877143416510136e-06,31.198585225560617,73.33092302702039
M1_AR1+mel,mood_lag1,0.329971885423476,0.13308275399319736,2.4794488806591937,0.016573563342180145,0.06266730722697555,0.5972764636199764
M1_AR1+mel,melatonin,0.6214961954893337,0.9833350791620874,0.6320289071950109,0.5302474586696201,-1.35359043801,2.596582828988667
M2_full,const,13.119929476942911,8.241544828178906,1.59192599815561,0.11796638673168303,-3.4508070111118236,29.690665964997645
M2_full,mood_lag1,-0.1510955937211227,0.10480557637989454,-1.4416751373365686,0.15588693765758146,-0.3618213283833799,0.0596301409411345
M2_full,melatonin,-0.09247176294033999,0.6426599228833976,-0.14388910782774578,0.88619044804022,-1.3846261412218075,1.1996826153411275
M2_full,agency,0.5212297390818923,0.10144385931151975,5.138110306719201,5.028607536114196e-06,0.31726318960260813,0.7251962885611765
M2_full,metacognition,0.45940058670473594,0.11555704526556092,3.975530748895408,0.0002355374276918111,0.22705757500544246,0.6917435984040294
