model,n,R2,adj_R2,aic,bic
M0_AR1,53,0.10894409990393394,0.09147241558832486,286.89151667100333,290.8321004981076
M0_AR2,53,0.20557775543367263,0.1738008656510195,282.8075380184676,288.71841375912396
M2_AR1,53,0.6438946869157254,0.6142192441587024,244.28094202324303,254.13240159100363
M2_AR2,53,0.6556217732050317,0.6189857916310988,244.5061861162888,256.32793759760153
