"Term","Posterior_M","CrI_95","Pr_gt_0","Rhat","ESS_bulk"
"Intercept",0.01,"[-0.23, 0.25]",0.539,1,11133
"mood_t-1 (z)",-0.14,"[-0.36, 0.07]",0.093,1,10424
"melatonin",-0.02,"[-0.36, 0.33]",0.444,1,11628
"agency (z)",0.54,"[0.32, 0.75]",1,1,10067
"metacognition (z)",0.45,"[0.22, 0.67]",1,1,9095
"sigma",0.63,"[0.52, 0.78]",1,1,9942
